teks,label
"ceramah tentang kasih sayang dan tolong-menolong",1
"isi ceramah tentang kekerasan dan kebencian",0
"penceramah menjelaskan tentang kejujuran",1
"ceramah penuh hujatan terhadap kelompok lain",0
"pembicaraan mengenai toleransi antar umat beragama",1
"khotbah yang memprovokasi permusuhan",0
"ceramah inspiratif tentang memaafkan kesalahan orang lain",1
"pidato penuh ancaman dan intimidasi",0
"penjelasan tentang pentingnya bersedekah",1
"khotbah yang merendahkan martabat manusia",0
"ceramah motivasi untuk berbuat kebaikan",1
"isi ceramah yang menyebarkan permusuhan",0
"pembahasan tentang pentingnya keluarga harmonis",1
"khotbah penuh caci maki dan fitnah",0
"penceramah menyampaikan pentingnya pendidikan karakter",1
"ceramah yang mendiskriminasi golongan tertentu",0
"pembicaraan tentang membangun persaudaraan",1
"khotbah penuh kebohongan dan hasutan",0
"penjelasan tentang keutamaan berbakti kepada orang tua",1
"ceramah yang menyerang keyakinan orang lain",0
"pengajian tentang pentingnya menjaga lingkungan",1
"khotbah yang menyalahkan kelompok tertentu atas masalah sosial",0
"ceramah inspiratif tentang kerja keras dan keuletan",1
"pidato yang menganggap hanya golongannya yang benar",0
"penjelasan tentang indahnya hidup sederhana",1
"khotbah penuh kemarahan dan emosi negatif",0
"ceramah tentang menghargai perbedaan pendapat",1
"isi ceramah yang mengkafirkan kelompok lain",0
"pembahasan tentang pentingnya pendidikan untuk semua",1
"khotbah yang menebarkan rasa takut dan pesimisme",0
"penceramah menyampaikan keutamaan silaturahmi",1
"ceramah yang memecah belah umat beragama",0
"pembicaraan tentang pentingnya integritas dalam bekerja",1
"khotbah penuh tuduhan tanpa bukti",0
"penjelasan tentang kebaikan berbagi dengan sesama",1
"ceramah yang merendahkan perempuan",0
"ceramah motivasi tentang pentingnya ilmu pengetahuan",1
"isi ceramah yang menolak modernitas secara ekstrem",0
"pembahasan tentang keindahan hidup rukun bertetangga",1
"khotbah yang menyatakan perang terhadap kelompok lain",0
"penceramah menjelaskan pentingnya kesehatan mental",1
"ceramah penuh prasangka buruk terhadap minoritas",0
"pembicaraan mengenai etika bermedia sosial",1
"khotbah yang mengajarkan balas dendam",0
"penjelasan tentang keutamaan sabar dalam menghadapi cobaan",1
"ceramah yang menganggap penganut agama lain sebagai musuh",0
"ceramah inspiratif tentang membangun masyarakat madani",1
"isi ceramah yang menjustifikasi kekerasan",0
"pembahasan tentang pentingnya menjaga lisan",1
"khotbah penuh kebencian terhadap pemerintah",0
"penceramah menyampaikan pentingnya keadilan sosial",1
"ceramah yang menganggap hanya agamanya yang benar",0
"pembicaraan tentang keutamaan memberi maaf",1
"khotbah penuh kata-kata kasar dan tidak santun",0
"penjelasan tentang pentingnya menjaga persatuan bangsa",1
"ceramah yang menyerang tradisi lokal",0
"ceramah motivasi tentang pentingnya waktu",1
"isi ceramah yang mengajarkan eksklusivisme",0
"pembahasan tentang indahnya keberagaman budaya",1
"khotbah yang menganggap budaya Barat sebagai ancaman",0
"penceramah menjelaskan pentingnya kebersihan",1
"ceramah penuh ketakutan akan kiamat",0
"pembicaraan mengenai pentingnya gotong royong",1
"khotbah yang menyalahkan kemiskinan sebagai takdir",0
"penjelasan tentang keutamaan bersyukur",1
"ceramah yang menganggap penderitaan sebagai hukuman",0
"ceramah inspiratif tentang pentingnya membaca",1
"isi ceramah yang menolak ilmu pengetahuan modern",0
"pembahasan tentang pentingnya menjaga kesehatan",1
"khotbah penuh fatalisme dan keputusasaan",0
"penceramah menyampaikan pentingnya menghormati orang tua",1
"ceramah yang mengajarkan sikap pasrah tanpa usaha",0
"pembicaraan tentang pentingnya inovasi dalam beribadah",1
"khotbah yang melarang kritik terhadap pemimpin agama",0
"penjelasan tentang keutamaan jujur dalam berdagang",1
"ceramah yang menganggap perempuan tidak perlu sekolah",0
"ceramah motivasi tentang pentingnya olahraga",1
"isi ceramah yang melarang perayaan budaya lokal",0
"pembahasan tentang pentingnya menjaga alam",1
"khotbah yang mengajarkan sikap eksklusif",0
"penceramah menjelaskan pentingnya menuntut ilmu sepanjang hayat",1
"ceramah penuh kecaman terhadap perkembangan teknologi",0
"pembicaraan mengenai pentingnya moderasi beragama",1
"khotbah yang menganggap musik sebagai haram",0
"penjelasan tentang keutamaan tersenyum kepada sesama",1
"ceramah yang melarang perempuan bekerja",0
"ceramah inspiratif tentang pentingnya vaksinasi",1
"isi ceramah yang menolak vaksin dengan dalil agama",0
"pembahasan tentang pentingnya menjaga kebersihan masjid",1
"khotbah penuh konspirasi tentang dunia medis",0
"penceramah menyampaikan pentingnya donor darah",1
"ceramah yang menganggap donor organ sebagai haram",0
"pembicaraan tentang pentingnya literasi digital",1
"khotbah yang melarang penggunaan internet",0
"penjelasan tentang keutamaan berwirausaha",1
"ceramah yang menganggap kemiskinan sebagai berkah",0
"ceramah motivasi tentang pentingnya menjaga pola makan sehat",1
"isi ceramah yang melarang pengobatan medis",0
"pembahasan tentang pentingnya menjaga kebersihan sungai",1
"khotbah yang mengajarkan sikap anti-sosial",0
"penceramah menjelaskan pentingnya imunisasi anak",1
"ceramah penuh penolakan terhadap ilmu pengetahuan",0
"pembicaraan mengenai pentingnya menjaga persahabatan",1
"khotbah yang mengajarkan sikap tertutup terhadap perbedaan",0
